,res_unit,com_unit,tot_unit,land_sqft,tot_sqft,price,age_when_sold,neighb_category
260,2,0,2,3000,2664,302925,116,1.0
261,2,0,2,3000,2664,522610,116,1.0
262,2,0,2,2500,1338,335000,105,1.0
263,2,0,2,2500,1338,162000,105,1.0
264,2,0,2,2500,2520,525000,95,1.0
265,2,0,2,2750,2742,350000,101,1.0
266,2,0,2,2750,2742,290000,100,1.0
267,2,0,2,2525,2384,345438,114,1.0
268,2,0,2,2342,2048,480000,95,1.0
269,2,0,2,2500,2532,420000,95,1.0
270,2,0,2,2250,2592,465000,95,1.0
271,3,0,3,5000,3339,420000,100,1.0
272,3,0,3,3614,1898,380000,100,1.0
273,3,0,3,3582,3699,525000,114,1.0
274,3,0,3,4042,2544,480000,95,1.0
275,3,0,3,3500,2868,495000,105,1.0
276,6,0,6,2035,3975,595000,100,1.0
277,4,0,4,5000,3780,885000,86,1.0
278,3,1,4,2247,3402,200000,105,1.0
279,1,1,2,3538,3270,491660,85,1.0
280,0,1,1,2515,2310,203000,84,1.0
281,1,0,1,1606,1328,285000,114,1.0
282,1,0,1,1614,1324,325000,85,1.0
283,1,0,1,2185,1428,412500,90,1.0
284,1,0,1,2185,1428,150000,90,1.0
285,2,0,2,2369,1152,185000,114,1.0
286,2,0,2,2450,2200,450000,115,1.0
287,2,0,2,1900,3126,365650,115,1.0
288,2,0,2,2433,2288,325000,114,1.0
289,2,0,2,2433,2256,320000,95,1.0
290,2,0,2,2870,2400,382000,18,1.0
291,2,0,2,2185,1520,365000,117,1.0
292,2,1,3,803,1920,450000,107,1.0
293,2,0,2,2500,2610,400000,116,1.0
294,2,0,2,2156,2280,207500,116,1.0
295,2,0,2,1457,1752,385000,116,1.0
296,2,0,2,2500,2209,479000,90,1.0
297,2,0,2,3486,2358,30000,116,1.0
298,2,0,2,1754,3090,480000,114,1.0
299,3,0,3,2500,3048,325000,75,1.0
300,3,0,3,1624,2244,372000,100,1.0
301,3,0,3,2500,1788,235000,90,1.0
302,3,0,3,1667,3531,514000,85,1.0
303,3,0,3,1606,2209,597000,10,1.0
304,3,0,3,1648,2209,589000,10,1.0
305,3,0,3,2000,3252,319000,106,1.0
306,3,0,3,1840,3387,300000,15,1.0
307,3,0,3,1900,1888,314035,114,1.0
308,4,0,4,2500,2520,420000,84,1.0
309,5,0,5,1875,3300,525000,84,1.0
310,0,1,1,2000,600,160000,84,1.0
311,0,1,1,2250,2750,425000,84,1.0
312,0,1,1,4179,3898,655000,85,1.0
313,1,0,1,5000,2200,420000,105,1.0
314,1,0,1,2500,570,340000,90,1.0
315,1,0,1,5000,1420,375000,95,1.0
316,1,0,1,2500,1280,335000,60,1.0
317,1,0,1,2042,1040,230000,75,1.0
318,1,0,1,1800,1620,333000,65,1.0
319,1,0,1,2550,992,340000,60,1.0
320,1,0,1,3081,1368,397500,60,1.0
321,1,0,1,3081,1368,292032,60,1.0
322,1,0,1,3081,1368,249000,60,1.0
323,1,0,1,1863,1024,350000,60,1.0
324,1,0,1,5469,966,389000,90,1.0
325,1,0,1,1852,1140,239500,85,1.0
326,1,0,1,1712,1421,233520,90,1.0
327,1,0,1,650,864,381188,95,1.0
328,1,0,1,2458,1496,247000,95,1.0
329,1,0,1,1800,2014,283920,65,1.0
330,1,0,1,5200,1848,335000,70,1.0
331,1,0,1,1950,1782,299000,66,1.0
332,1,0,1,1650,1728,310000,60,1.0
333,1,0,1,1650,1632,205000,60,1.0
334,1,0,1,1225,1440,255000,65,1.0
335,1,0,1,5000,722,330000,85,1.0
336,1,0,1,2500,1440,238290,50,1.0
337,1,0,1,2685,1728,70000,70,1.0
338,1,0,1,2650,1920,320000,70,1.0
339,1,0,1,1520,1536,229671,65,1.0
340,1,0,1,6000,1596,369000,70,1.0
341,1,0,1,1800,1566,340000,55,1.0
342,1,0,1,2500,1074,319000,101,1.0
343,1,0,1,2100,1144,386250,65,1.0
344,1,0,1,1700,1440,305000,60,1.0
345,1,0,1,1615,1632,308000,65,1.0
346,1,0,1,1995,1560,405000,80,1.0
347,1,0,1,1680,928,320000,70,1.0
348,1,0,1,2500,1320,350000,75,1.0
349,1,0,1,4000,1008,367813,114,1.0
350,1,0,1,2500,1224,270000,55,1.0
351,1,0,1,1800,1420,460000,65,1.0
352,1,0,1,1800,1420,359500,65,1.0
353,1,0,1,6292,1094,174000,71,1.0
354,1,0,1,6956,2236,400000,105,1.0
355,1,0,1,4477,3053,345000,100,1.0
356,1,0,1,1520,928,267800,70,1.0
357,1,0,1,2067,1580,280000,80,1.0
358,1,0,1,2028,1360,300000,80,1.0
359,1,0,1,1842,1620,360000,80,1.0
360,1,0,1,1800,1810,410000,65,1.0
361,1,0,1,1850,1620,420000,70,1.0
362,2,0,2,2500,2680,520000,65,1.0
363,2,0,2,5000,2860,560000,90,1.0
364,2,0,2,5000,2860,130000,90,1.0
365,2,0,2,5000,2860,130000,90,1.0
366,2,0,2,2500,1690,525000,90,1.0
367,2,0,2,2500,1690,215800,90,1.0
368,2,0,2,2500,1710,320000,90,1.0
369,2,0,2,2700,2178,560000,90,1.0
370,2,0,2,2500,2680,210000,95,1.0
371,2,0,2,2500,2640,560000,50,1.0
372,2,0,2,5000,1920,570000,75,1.0
373,2,0,2,2500,2040,550000,9,1.0
374,2,0,2,1800,1876,255000,65,1.0
375,2,0,2,2500,1350,210000,60,1.0
376,2,0,2,3000,2750,605000,55,1.0
377,2,0,2,2500,2274,342980,105,1.0
378,2,0,2,2375,2134,661862,1,1.0
379,2,0,2,2625,2134,661862,1,1.0
380,2,0,2,2400,1912,272950,65,1.0
381,2,0,2,2142,1914,390000,55,1.0
382,2,0,2,2434,2635,549000,10,1.0
383,2,0,2,2867,2569,460000,65,1.0
384,2,0,2,2200,1825,445500,75,1.0
385,2,0,2,2500,2407,331578,7,1.0
386,2,0,2,2000,1575,360000,75,1.0
387,2,0,2,2642,1807,374000,75,1.0
388,2,0,2,2500,1780,270300,90,1.0
389,2,0,2,2119,1500,499000,90,1.0
390,2,0,2,2119,1500,200000,90,1.0
391,2,0,2,1700,1766,602457,90,1.0
392,2,0,2,1500,2100,430360,45,1.0
393,2,0,2,2567,2184,480000,65,1.0
394,2,0,2,2567,2184,325000,65,1.0
395,2,0,2,2742,2578,375000,75,1.0
396,2,0,2,5350,2440,652000,45,1.0
397,2,0,2,2500,1620,195000,80,1.0
398,2,0,2,2500,3240,500000,50,1.0
399,2,1,3,3174,3401,375000,84,1.0
400,2,0,2,1798,1890,530000,55,1.0
401,2,0,2,1798,1890,380000,55,1.0
402,2,0,2,2285,2968,535000,80,1.0
403,2,0,2,2500,1524,529000,60,1.0
404,2,0,2,2500,1368,206000,90,1.0
405,2,0,2,2288,2800,520000,55,1.0
406,2,0,2,2500,1661,195000,86,1.0
407,2,0,2,2500,1841,445200,65,1.0
408,2,0,2,3200,2070,540000,80,1.0
409,2,0,2,2775,1960,562000,58,1.0
410,2,0,2,2775,1960,374000,57,1.0
411,2,0,2,2500,1818,450000,65,1.0
412,2,0,2,2500,1818,350000,65,1.0
413,2,0,2,2500,3000,415000,65,1.0
414,2,0,2,6242,1588,345000,95,1.0
415,2,0,2,2500,2681,565000,65,1.0
416,2,0,2,2500,2681,220000,65,1.0
417,2,0,2,2200,1716,432500,60,1.0
418,2,0,2,3125,972,460000,95,1.0
419,2,0,2,3125,1992,615000,90,1.0
420,2,0,2,3891,2413,600000,105,1.0
421,2,0,2,2320,2100,478725,50,1.0
422,2,0,2,4000,1606,225000,10,1.0
423,2,0,2,2050,1664,317000,75,1.0
424,2,0,2,2500,3060,460000,9,1.0
425,2,0,2,2500,1610,340000,70,1.0
426,2,0,2,1800,2011,449000,60,1.0
427,2,0,2,2829,1476,550000,95,1.0
428,2,0,2,4477,1776,503500,100,1.0
429,2,0,2,2375,2440,495000,96,1.0
430,2,0,2,2250,2826,290000,75,1.0
431,2,0,2,1860,1966,230000,70,1.0
432,3,0,3,1238,2322,460000,6,1.0
433,3,0,3,1456,3132,550000,7,1.0
434,3,0,3,2000,2800,525300,50,1.0
435,3,0,3,2500,2680,360000,95,1.0
436,3,0,3,2581,3150,315000,90,1.0
437,3,0,3,2900,2929,750000,10,1.0
438,3,0,3,2500,2728,600000,9,1.0
439,3,0,3,3400,1910,245000,85,1.0
440,3,0,3,2500,3564,469000,110,1.0
441,3,0,3,2642,2468,460000,65,1.0
442,3,0,3,3000,2022,265000,90,1.0
443,1,0,1,5000,1808,593750,95,1.0
444,4,0,4,2600,3160,560000,90,1.0
445,4,0,4,2285,3214,625000,84,1.0
446,5,0,5,3077,3757,590000,96,1.0
447,5,0,5,5000,3744,625000,77,1.0
448,0,2,2,3382,2268,495000,83,1.0
449,0,4,4,2732,2560,355000,48,1.0
450,0,1,1,5000,2750,1200000,54,1.0
451,1,1,2,4356,1850,250000,85,1.0
452,0,2,2,5425,3652,630000,53,1.0
453,1,0,1,1943,1594,378000,50,1.0
454,1,0,1,1903,1594,215000,55,1.0
455,1,0,1,1950,1630,150000,50,1.0
456,1,0,1,2706,576,243000,85,1.0
457,1,0,1,3617,1104,380000,65,1.0
458,1,0,1,2985,2008,100000,65,1.0
459,1,0,1,2250,1638,399000,100,1.0
460,1,0,1,2250,1638,231500,100,1.0
461,1,0,1,4000,2207,399000,60,1.0
462,1,0,1,3058,1782,370000,65,1.0
463,1,0,1,2256,1638,205000,80,1.0
464,1,0,1,2256,1638,160000,80,1.0
465,1,0,1,2060,1680,393000,28,1.0
466,1,0,1,5121,1762,320000,80,1.0
467,1,0,1,1725,1000,310000,90,1.0
468,1,1,2,4900,2160,523000,90,1.0
469,1,0,1,2627,1714,290000,60,1.0
470,1,0,1,2266,1080,410000,75,1.0
471,1,0,1,1751,1496,300000,70,1.0
472,1,0,1,5124,1320,400000,116,1.0
473,1,0,1,1602,1633,380000,65,1.0
474,1,0,1,1602,1633,300000,65,1.0
475,1,0,1,5150,1790,290000,95,1.0
476,2,0,2,2522,1902,450000,14,1.0
477,2,0,2,2518,1902,525000,13,1.0
478,2,0,2,2519,1902,455000,13,1.0
479,2,0,2,3629,1902,440000,15,1.0
480,2,0,2,3472,2106,436000,55,1.0
481,2,0,2,2237,2336,540000,50,1.0
482,2,0,2,2237,2336,325000,50,1.0
483,2,0,2,2968,2073,420000,55,1.0
484,2,0,2,2800,1920,495000,28,1.0
485,2,0,2,2000,2325,252135,28,1.0
486,2,0,2,2800,2325,471700,28,1.0
487,2,0,2,2520,2325,450000,27,1.0
488,2,0,2,1800,2325,460000,27,1.0
